;pharmacie;lien;adresse;coordonnee;telephone
279;Pharmacie Boulmane;https://www.telecontact.ma/annonceur/pharmacie-boulmane-/2129538/casablanca.php; 2, bd Boulmane, hay Mly Abdellah;33.54522965348627, -7.591533293394021;05 22 87 43 21 
280;Pharmacie Bournazel;https://www.telecontact.ma/annonceur/pharmacie-bournazel-/0283800/casablanca.php; hay Moulay Rachid II - ex Bournazel, imm 10 mag. 6;33.57420706828759, -7.556789859588662;05 22 70 52 70 
281;Pharmacie Bouzoubaâ;https://www.telecontact.ma/annonceur/pharmacie-bouzouba-/2209336/casablanca.php; 285, bd Ghandi ;33.563771640, -7.633240200;05 22 98 44 14 
282;Pharmacie Bouzoubaâ;https://www.telecontact.ma/annonceur/pharmacie-bouzouba-/2209336/casablanca.php; 285, bd Ghandi ;33.567235, -7.640112;05 22 98 44 14 
283;Pharmacie C.i.l.;https://www.telecontact.ma/annonceur/pharmacie-c-i-l-/2152875/casablanca.php; 100, bd Ibn Sina - ex Avicenne ;33.567667560, -7.678040760;05 22 36 18 68 
284;Pharmacie Californie;https://www.telecontact.ma/annonceur/pharmacie-californie-/2206180/casablanca.php; 435, bd Panoramique ;33.55, -7.62143;05 22 52 19 99 
285;Pharmacie Calogera;https://www.telecontact.ma/annonceur/pharmacie-calogera-/3030920/casablanca.php; hay Med B.Hassan Ouazzani - ex Kalojra, rue 75, ang. rue 73;33.55848181217425, -7.586378729125272;05 22 37 06 83 
286;Pharmacie Camya;https://www.telecontact.ma/annonceur/pharmacie-camya-/3292053/casablanca.php; Lotiss. Lina , lot 316, rue 13 n°1;33.5183029038553, -7.648255033985151;05 22 58 08 42 
287;Pharmacie Camélia;https://www.telecontact.ma/annonceur/pharmacie-cam-lia-/1420700/casablanca.php; 29, avenue Hassan Souktani ;33.59076883784148, -7.631512877920689;05 22 27 17 07 
288;Pharmacie Carnot;https://www.telecontact.ma/annonceur/pharmacie-carnot-/2194473/casablanca.php; 15, rue Jaafar El Barmaki ;33.593634330769106, -7.583033382497013;05 22 63 86 57 
289;Pharmacie Casa Hills;https://www.telecontact.ma/annonceur/pharmacie-casa-hills-/3268324/casablanca.php; quartier Ahl Loghlam, projet AlBader Gh 17 imm. 5 n°2;33.61112574418157, -7.483212923785459;06 60 94 58 45 
290;Pharmacie Casa Mabrouka;https://www.telecontact.ma/annonceur/pharmacie-casa-mabrouka-/3334469/casablanca.php; hay Mabrouka, bd Anoual;33.565816, -7.567762;05 22 37 04 38 
291;Pharmacie Centrale Aïn Borja;https://www.telecontact.ma/annonceur/pharmacie-centrale-aon-borja-/3123002/casablanca.php; hay Arsalane, rue 7 lot. 82;33.582294796400724, -7.5805522279724755;05 22 60 41 76 
292;Pharmacie Centre Commercial;https://www.telecontact.ma/annonceur/pharmacie-centre-commercial-/3207150/casablanca.php; quartier Lissasfa (route d'El Jadida), cplxe Artisanal n°346;33.533123199936824, -7.67482168736683;05 22 65 06 60 
293;Pharmacie Chaab;https://www.telecontact.ma/annonceur/pharmacie-chaab-/2203773/casablanca.php; hay Moulay Abdallah, rue 226 n°23-25;33.54096544932841, -7.587427472850095;05 22 52 66 17 
294;Pharmacie Chaabi;https://www.telecontact.ma/annonceur/pharmacie-chaabi-/2207089/casablanca.php; 114, rue Ennahas Annahoui-ex Mont Pelvoux ;33.581863905671355, -7.6370661772270365;05 22 99 09 22 
295;Pharmacie Chaabia;https://www.telecontact.ma/annonceur/pharmacie-chaabia-/3061898/casablanca.php; 1, lot. Anassi, grp. 11 Ahl Loghlam;33.573795030, -7.525905480;05 22 76 79 58 
296;Pharmacie Chaaoub;https://www.telecontact.ma/annonceur/pharmacie-chaaoub-/3296741/casablanca.php; quartier Beausite, résid. Al Amane Gh42 n°323;NO COORDINATES;05 22 66 57 09 
297;Pharmacie Chabab;https://www.telecontact.ma/annonceur/pharmacie-chabab-/2199272/casablanca.php; cité Chabab, n°38 imm. 4A, Aïn Sébaa;33.60423536876363, -7.523583236331943;05 22 75 59 16 
298;Pharmacie Chababi;https://www.telecontact.ma/annonceur/pharmacie-chababi-/1534700/casablanca.php; 426, avenue Lagouira - ex F (cité Jemaa) ;33.5547, -7.57895;05 22 37 12 58 
299;Pharmacie Chadili;https://www.telecontact.ma/annonceur/pharmacie-chadili-/3119880/casablanca.php; hay Sidi Moumen, Lot. Amal n°4, rue 24, bd Houssine Soussi;33.581987855400044, -7.530468082209836;05 22 72 80 91 
300;Pharmacie Chafik;https://www.telecontact.ma/annonceur/pharmacie-chafik-/3123230/casablanca.php; bd Abdelhadi Boutaleb ex rte d'Azemmour, hay ElMassaoudi rue 1 n°40 bis;33.5617, -7.71979;05 22 39 04 80 
301;Pharmacie Chama;https://www.telecontact.ma/annonceur/pharmacie-chama-/2110217/casablanca.php; 92, bd El Adarissa ;33.5821, -7.53826;05 22 70 36 59 
302;Pharmacie Chaoui;https://www.telecontact.ma/annonceur/pharmacie-chaoui-/0284600/casablanca.php; 497, bd El Fida ;33.57211779319797, -7.598759230711623;05 22 28 08 21 
303;Pharmacie Charai;https://www.telecontact.ma/annonceur/pharmacie-charai-/3114759/casablanca.php; hay Moulay Rachid, grp. 2 rue 45 n°9;33.5674442739474, -7.548693692466031;05 22 72 66 64 
304;Pharmacie Charif Idrissi;https://www.telecontact.ma/annonceur/pharmacie-charif-idrissi-/3275622/casablanca.php; quartier Lissasfa (route d'El Jadida), Riad Sofia Gh9 n°201;33.52021943620522, -7.678228092815743;05 22 65 01 91 
305;Pharmacie Charles Nicolle;https://www.telecontact.ma/annonceur/pharmacie-charles-nicolle-/2152710/casablanca.php; 19, place Louis Pasteur -ex Charles Nicolle ;33.5965, -7.59781;05 22 47 56 44 
306;Pharmacie Chefchaouni;https://www.telecontact.ma/annonceur/pharmacie-chefchaouni-/2132570/casablanca.php; 168, bd Chefchaouni ;33.6141, -7.52405;05 22 35 78 79 
307;Pharmacie Chems;https://www.telecontact.ma/annonceur/pharmacie-chems-/3072250/casablanca.php; quartier Lissasfa (route d'El Jadida), Assalam II imm. 4 GH 8;33.544468586523756, -7.674301604457128;05 22 89 39 88 
308;Pharmacie Cherkaoui;https://www.telecontact.ma/annonceur/pharmacie-cherkaoui-/3035614/casablanca.php; 9, rue de l' Avenir, derb Abdellah;33.6017, -7.62587;05 22 27 97 60 
309;Pharmacie Chifa;https://www.telecontact.ma/annonceur/pharmacie-chifa-/0284800/casablanca.php; bd d' Afghanistan ;33.57195423912172, -7.675235285930639;05 22 90 32 63 
310;Pharmacie Chifaa Al Anassi;https://www.telecontact.ma/annonceur/pharmacie-chifaa-al-anassi-/3335321/casablanca.php; lot. Anassi, extension 43, entrée 14 n°232;NO COORDINATES;05 22 74 84 85 
311;Pharmacie Chloropytum;https://www.telecontact.ma/annonceur/pharmacie-chloropytum-/3339491/casablanca.php; avenue du Dix Mars, B24 gal.Marchande Marjane;NO COORDINATES;05 22 57 28 31 
312;Pharmacie Choroke;https://www.telecontact.ma/annonceur/pharmacie-choroke-/2153740/casablanca.php; hay Moulay Abdallah, rue 48 n°8-10;33.54499166579751, -7.598349427958738;05 22 50 08 77 
313;Pharmacie Chouhada;https://www.telecontact.ma/annonceur/pharmacie-chouhada-/0284900/casablanca.php; 253, bd du Nil, cité Mabrouka;33.5638, -7.56283;05 22 37 34 71 
314;Pharmacie Choura;https://www.telecontact.ma/annonceur/pharmacie-choura-/2215396/casablanca.php; bd Ibn Louennane, résid. AlAssil n°4 A 003;33.59580340488644, -7.560889;05 22 60 30 63 
315;Pharmacie Chrifa;https://www.telecontact.ma/annonceur/pharmacie-chrifa-/2197655/casablanca.php; Hay Chrifa, rue 15 n°2;33.534718087738796, -7.605847218330747;05 22 52 35 16 
316;Pharmacie Chtaiba;https://www.telecontact.ma/annonceur/pharmacie-chtaiba-/2182812/casablanca.php; derb Moulay Larbi Alaoui - ex Fomar, rue 50 n°38;33.56674555403487, -7.571126945494143;05 22 56 32 37 
317;Pharmacie Cinéma Anfa;https://www.telecontact.ma/annonceur/pharmacie-cin-ma-anfa-/2216911/casablanca.php; 141 Bis, bd Sidi Abderrahman ;33.597505530, -7.603234560;05 22 36 87 62 
318;Pharmacie Cité Addaman;https://www.telecontact.ma/annonceur/pharmacie-cit-addaman-/3034008/casablanca.php; bd Dakhla -ex H, résid. addaman GH 9B n° 4;33.54010253534185, -7.603483512573234;05 22 21 34 99 
319;Pharmacie Cité Plateau;https://www.telecontact.ma/annonceur/pharmacie-cit-plateau-/3010868/casablanca.php; 24 Bis, avenue Stendhal ;33.567284829383844, -7.636768481911168;05 22 25 05 71 
320;Pharmacie Cité des Cheminots;https://www.telecontact.ma/annonceur/pharmacie-cit-des-cheminots-/3072223/casablanca.php; rue Echcharif Idrissi, cité o.n.c.f bloc 2 n°1;33.5997155189534, -7.564204745106384;05 22 40 03 96 
321;Pharmacie Clinique Andalouss;https://www.telecontact.ma/annonceur/pharmacie-clinique-andalouss-/3032369/casablanca.php; 19, bd Driss Slaoui -ex Témara, Val d'Anfa;33.5939, -7.65458;05 22 39 79 41 
322;Pharmacie Cosmos;https://www.telecontact.ma/annonceur/pharmacie-cosmos-/0883400/casablanca.php; hay El Falah, rue 1 n° 86;33.561115645163184, -7.549921801506002;05 22 70 46 55 
323;Pharmacie Dadi;https://www.telecontact.ma/annonceur/pharmacie-dadi-/0286000/casablanca.php; 500, bd de Dakhla Jamila 5, cité Djemaâ;33.54650982256396, -7.572160927228279;05 22 37 28 28 
324;Pharmacie Dadoun;https://www.telecontact.ma/annonceur/pharmacie-dadoun-/2149173/casablanca.php; 13, lot Laayoune ;33.57916528399565, -7.583654202698199;05 22 62 00 67 
325;Pharmacie Daha;https://www.telecontact.ma/annonceur/pharmacie-daha-/3198575/casablanca.php; cité Sidi Bernoussi, lotiss. Daha rue 7 n°48 bis;33.61906727824991, -7.525414057253329;05 22 35 52 90 
326;Pharmacie Dahbi;https://www.telecontact.ma/annonceur/pharmacie-dahbi-/3001082/casablanca.php; cité Sidi Othmane, bloc 66 n°13 Bis;33.5576891428912, -7.566728122709719;05 22 55 76 00 
327;Pharmacie Dakar;https://www.telecontact.ma/annonceur/pharmacie-dakar-/3167577/casablanca.php; hay Yasmina, rue 50 n°81;33.53573622969669, -7.579928016444455;05 22 87 44 71 
328;Pharmacie Dakhla;https://www.telecontact.ma/annonceur/pharmacie-dakhla-/2146789/casablanca.php; 91, bd Dakhla -ex H, Inara I;NO COORDINATES;05 22 50 10 82 
329;Pharmacie Dalal;https://www.telecontact.ma/annonceur/pharmacie-dalal-/3015937/casablanca.php; 24 Bis, rue des Vanneaux ;33.554542440684216, -7.63589051656463;05 22 99 27 54 
330;Pharmacie Dalanda;https://www.telecontact.ma/annonceur/pharmacie-dalanda-/3073289/casablanca.php; hay El Osra, lot. Sanaa rue 2 n°74;33.53237666943654, -7.583609946249453;05 22 52 35 61 
331;Pharmacie Dalila;https://www.telecontact.ma/annonceur/pharmacie-dalila-/3004332/casablanca.php; lot. Dalila II, bd. C n°7 bis z.i.;33.62234573007236, -7.526566019726996;05 22 35 25 42 
332;Pharmacie Dallas;https://www.telecontact.ma/annonceur/pharmacie-dallas-/3054775/casablanca.php; 303, bd Oued Abi Raqraq ;33.5633, -7.68128;05 22 89 84 74 
333;Pharmacie Danton;https://www.telecontact.ma/annonceur/pharmacie-danton-/0286200/casablanca.php; 47, bd Bir Anzarane ;33.58038830745509, -7.637347127338497;05 22 25 09 78 
334;Pharmacie Daou;https://www.telecontact.ma/annonceur/pharmacie-daou-/3268470/casablanca.php; hay Sidi Moumen, lotiss. Tissir rue 2 n°35;33.57469625845568, -7.510920142909299;05 22 71 04 05 
335;Pharmacie Daoussi;https://www.telecontact.ma/annonceur/pharmacie-daoussi-/3158441/casablanca.php; 38, lotiss. Al Othmania , rte 1100 Sidi Maârouf;33.511209094249935, -7.644969260934431;05 22 58 30 94 
336;Pharmacie Dar AlKaram;https://www.telecontact.ma/annonceur/pharmacie-dar-alkaram-/3192623/casablanca.php; hay Sidi Moumen, résid. AlKaram imm.17 mag.3;33.596806021457844, -7.508677816172849;05 22 72 33 33 
337;Pharmacie Dar Alidâa;https://www.telecontact.ma/annonceur/pharmacie-dar-alid-a-/2143184/casablanca.php; hay El Osra, rue 50 n°161;33.53571021153959, -7.579916544435946;05 22 50 32 33 
338;Pharmacie Dar Assalam;https://www.telecontact.ma/annonceur/pharmacie-dar-assalam-/3032074/casablanca.php; hay El Oulfa, opération Assalam n°32;33.5473970226634, -7.672925567408811;05 22 93 22 31 
339;Pharmacie Dar Lamane;https://www.telecontact.ma/annonceur/pharmacie-dar-lamane-/1222500/casablanca.php; 29, avenue Ali Yata -ex Foum Lahsan, bloc 18;33.59195467769842, -7.56824752313932;05 22 62 13 53 
340;Pharmacie Dattier;https://www.telecontact.ma/annonceur/pharmacie-dattier-/3072430/casablanca.php; 149 B, lotiss. Haj Fateh ;33.54091388889, -7.6794;05 22 89 52 21 
341;Pharmacie Dawdia;https://www.telecontact.ma/annonceur/pharmacie-dawdia-/3267915/casablanca.php; hay El Wifak 1, rue 13 n°85;33.5555224310217, -7.689630365153562;05 22 90 14 24 
342;Pharmacie Dawliz;https://www.telecontact.ma/annonceur/pharmacie-dawliz-/2109966/casablanca.php; 3, bd Tantan -ex Monte carlo ;33.605, -7.65709;05 22 36 25 74 
343;Pharmacie Dennay;https://www.telecontact.ma/annonceur/pharmacie-dennay-/3098605/casablanca.php; hay Sidi Moumen, Dyar Essaâda, mag. n°1 et 3;33.585142961669305, -7.523183202525388;05 22 70 90 79 
344;Pharmacie Derb Bouchentouf;https://www.telecontact.ma/annonceur/pharmacie-derb-bouchentouf-/2110267/casablanca.php; derb Bouchentouf, rue 40 n°223;33.568874636475094, -7.608998134307853;05 22 28 45 24 
345;Pharmacie Derb Elkabir;https://www.telecontact.ma/annonceur/pharmacie-derb-elkabir-/1625800/casablanca.php; 262, bd El Mahata -ex La Croix, lot.Ouled Ziane;33.609823650, -7.525964880;05 22 80 41 69 
346;Pharmacie Derb Omar;https://www.telecontact.ma/annonceur/pharmacie-derb-omar-/3077958/casablanca.php; 14, rue Oulad Ziane, passage Souak;33.5922, -7.60307;05 22 30 56 73 
347;Pharmacie Derb Sultan;https://www.telecontact.ma/annonceur/pharmacie-derb-sultan-/3263153/casablanca.php; Derb Baladia (nvlle médina), rue Chaouia, n°24/25/26;33.574404319365, -7.605874963282076;05 22 82 82 10 
348;Pharmacie Derb Tazi;https://www.telecontact.ma/annonceur/pharmacie-derb-tazi-/2207956/casablanca.php; 22, rue de Tiznit ;33.6061, -7.62821;05 22 20 85 74 
349;Pharmacie Diar Lissasfa;https://www.telecontact.ma/annonceur/pharmacie-diar-lissasfa-/3169572/casablanca.php; quartier Lissasfa (route d'El Jadida), résid. Diar Lissasfa imm. 119 n°2;33.52642895602667, -7.674415332701074;05 22 65 22 66 
350;Pharmacie Dikr Allah;https://www.telecontact.ma/annonceur/pharmacie-dikr-allah-/3208227/casablanca.php; hay Sidi Moumen, lotiss.Meriem II n°6;33.58692156846182, -7.528220391055356;05 22 70 36 30 
351;Pharmacie Dispensaire;https://www.telecontact.ma/annonceur/pharmacie-dispensaire-/3139693/casablanca.php; 761, bd du Nil, Sidi Othmane 2;33.5662, -7.56463;05 22 57 54 47 
352;Pharmacie Dispensaire Jamila IV;https://www.telecontact.ma/annonceur/pharmacie-dispensaire-jamila-iv-/3266076/casablanca.php; 110, hay Jamila IV (cité Djemaa), rue 89;33.546623253000405, -7.566490747211901;05 22 56 66 83 
353;Pharmacie Diwane;https://www.telecontact.ma/annonceur/pharmacie-diwane-/3091846/casablanca.php; 8 Bis, allée des Lilas (Aïn Sebâa), hay castor;33.61009757186303, -7.525409309896889;05 22 66 14 80 
354;Pharmacie Douaa;https://www.telecontact.ma/annonceur/pharmacie-douaa-/3079453/casablanca.php; cité Sidi Bernoussi II, rue 4 n°1 Souk Alak;33.60734691452187, -7.498267419813601;05 22 76 74 53 
355;Pharmacie Douae Essalama;https://www.telecontact.ma/annonceur/pharmacie-douae-essalama-/3139697/casablanca.php; hay Salama III, grp. 1 bloc J n°12;33.55946079963226, -7.560782408496152;05 22 37 29 48 
356;Pharmacie Doukkala;https://www.telecontact.ma/annonceur/pharmacie-doukkala-/2205307/casablanca.php; 33, avenue Abdelkader Essahraoui, Massira 1;33.55951042420126, -7.538601375146527;05 22 70 91 11 
357;Pharmacie Douma;https://www.telecontact.ma/annonceur/pharmacie-douma-/2110258/casablanca.php; 22, bd de la Renaissance Hay Douma;33.5767, -7.5394;05 22 70 26 46 
358;Pharmacie Dounia;https://www.telecontact.ma/annonceur/pharmacie-dounia-/0286400/casablanca.php; hay Jamila V (cité Djemaa), rue 145 n°108 bis;33.543006546153784, -7.573072318924005;05 22 37 14 41 
359;Pharmacie Dounia Erraha;https://www.telecontact.ma/annonceur/pharmacie-dounia-erraha-/3086086/casablanca.php; hay El Wifak III, rue 64 n°299;33.55550010958371, -7.688010647468559;05 22 91 51 34 
360;Pharmacie Du Conseil;https://www.telecontact.ma/annonceur/pharmacie-du-conseil-/2110224/casablanca.php; 637, bd Mohammed V ;33.591221010, -7.593404040;05 22 24 94 80 
361;Pharmacie Du Phare;https://www.telecontact.ma/annonceur/pharmacie-du-phare-/2110159/casablanca.php; 16, avenue Mohamed Sijelmassi -ex Phare ;33.59332269800194, -7.643262750927132;05 22 26 68 19 
362;Pharmacie Dune d'Anfa;https://www.telecontact.ma/annonceur/pharmacie-dune-d-anfa-/3117685/casablanca.php; 11, bd Driss Slaoui -ex Témara ;33.59190301073621, -7.654251687593677;05 22 39 30 30 
363;Pharmacie Dyar Al Wafaa;https://www.telecontact.ma/annonceur/pharmacie-dyar-al-wafaa-/3190899/casablanca.php; 46, bd Oqba Bnou Nafiaa, lotiss. Ouled Haress, Yassir, mag. 2;33.5834, -7.56982;05 22 70 07 16 
364;Pharmacie Dyar ElManzeh;https://www.telecontact.ma/annonceur/pharmacie-dyar-elmanzeh-/3267913/casablanca.php; quartier Lissasfa (route d'El Jadida), résid. Prestige Oulfa GH12 imm1;33.53537238533557, -7.680723888304101;05 22 93 14 41 
365;Pharmacie Eden;https://www.telecontact.ma/annonceur/pharmacie-eden-/2222278/casablanca.php; 13, rue Jaafar Ibn Habib (Bourgogne) ;33.5967, -7.64392;05 22 49 28 79 
366;Pharmacie Eden Rock;https://www.telecontact.ma/annonceur/pharmacie-eden-rock-/3073701/casablanca.php; 60, bd Tantan -ex Monte carlo ;33.6027, -7.65398;05 22 36 35 30 
367;Pharmacie El Baraka 2;https://www.telecontact.ma/annonceur/pharmacie-el-baraka-2-/3335850/casablanca.php; lot Al Baraka 2, rue 48 n° 18;NO COORDINATES;05 22 50 87 39 
368;Pharmacie El Bhira;https://www.telecontact.ma/annonceur/pharmacie-el-bhira-/3118492/casablanca.php; 188, bd de Goulmima ;33.5999, -7.62777;05 22 26 81 31 
369;Pharmacie El Boussairi;https://www.telecontact.ma/annonceur/pharmacie-el-boussairi-/3078129/casablanca.php; cité Sidi Bernoussi, bloc 33, n°18 bis;33.60769763273492, -7.509261794565646;05 22 75 80 99 
370;Pharmacie El Feddane;https://www.telecontact.ma/annonceur/pharmacie-el-feddane-/3272341/casablanca.php; hay El Wifak 3 rue 41 n°270;33.561520392117004, -7.695760502421535;05 22 89 88 50 
371;Pharmacie El Filali;https://www.telecontact.ma/annonceur/pharmacie-el-filali-/3077602/casablanca.php; hay Sidi Moumen, rue 4 n°52;33.58582223291204, -7.534239268084775;05 22 70 46 35 
372;Pharmacie El Hachemi;https://www.telecontact.ma/annonceur/pharmacie-el-hachemi-/3201989/casablanca.php; bd Anoual -ex Felix Faure, résid. Andaloussia imm.34 n°1;33.566955, -7.633095;05 22 99 64 39 
373;Pharmacie El Jabr;https://www.telecontact.ma/annonceur/pharmacie-el-jabr-/3138833/casablanca.php; cité Lalla Mériem, bloc 40 n°61;33.55853403088779, -7.553140051840273;05 22 55 34 29 
374;Pharmacie El Jaoui;https://www.telecontact.ma/annonceur/pharmacie-el-jaoui-/3077470/casablanca.php; hay El Hana, rue 22, n°36;33.57443784033431, -7.668236322878329;05 22 39 91 24 
375;Pharmacie El Jazira;https://www.telecontact.ma/annonceur/pharmacie-el-jazira-/3119882/casablanca.php; lotiss. Elhouria, rue 19 n°65;33.5785, -7.59373;05 22 72 90 12 
376;Pharmacie El Kandara;https://www.telecontact.ma/annonceur/pharmacie-el-kandara-/2221946/casablanca.php; 10, rue Abdellah Guennoun -ex Nièvre ;33.59396573742349, -7.627561360026256;05 22 27 40 83 
377;Pharmacie El Karti;https://www.telecontact.ma/annonceur/pharmacie-el-karti-/3158508/casablanca.php; lotiss. Al Moustakbal, Gh 27 imm. 238 A n°1, Sidi Maârouf;33.524715602938784, -7.647551870127927;05 22 58 38 11 
378;Pharmacie El Mrahi;https://www.telecontact.ma/annonceur/pharmacie-el-mrahi-/3269888/casablanca.php; cité Sidi Bernoussi, rte. de Rabat n° 1, cplxe Attakadoum porte n°4;33.60797016437413, -7.5089667515740075;05 22 76 68 56 
379;Pharmacie El Youssoufi;https://www.telecontact.ma/annonceur/pharmacie-el-youssoufi-/3138303/casablanca.php; lotiss. Ennour, rue 9 n°19, cité Sidi Othmane;33.550157735423, -7.555224871417295;05 22 57 96 62 
380;Pharmacie El-Inaya;https://www.telecontact.ma/annonceur/pharmacie-el-inaya-/2172980/casablanca.php; rue Marje Azzohour cité O.n.c.f. bloc 11 rue 2 n°80;33.59870183564224, -7.566852669046852;05 22 24 17 73 
381;Pharmacie ElAlaoui;https://www.telecontact.ma/annonceur/pharmacie-elalaoui-/3000733/casablanca.php; lot. El Azhar, tranche 6/1 n°36;33.60193101294847, -7.485884403964292;05 22 75 56 31 
382;Pharmacie ElAnadel;https://www.telecontact.ma/annonceur/pharmacie-elanadel-/0883500/casablanca.php; 7, bd Abdellatif Ben Kaddour ;33.59305935379394, -7.637928258481047;05 22 36 54 38 
383;Pharmacie ElAnbar;https://www.telecontact.ma/annonceur/pharmacie-elanbar-/1625900/casablanca.php; bd Aba Chouaïb Doukali ang. rue 62 n°3 derb Sidi Maarouf V;33.5734, -7.57821;05 22 28 52 99 
384;Pharmacie ElAnouar;https://www.telecontact.ma/annonceur/pharmacie-elanouar-/2198226/casablanca.php; quartier Bine Lemdoune, rue 17, n°34 bis;33.558981634422075, -7.603749433160374;05 22 28 17 08 
385;Pharmacie ElBachir;https://www.telecontact.ma/annonceur/pharmacie-elbachir-/3010047/casablanca.php; 62 Bis, bd Haj Ahmed Mekouar -ex C.Caillat ;33.615919221684784, -7.538995582233855;05 22 34 41 27 
386;Pharmacie ElBadie;https://www.telecontact.ma/annonceur/pharmacie-elbadie-/3115781/casablanca.php; lot. El Azhar, bloc I4 n°27;33.60401867827698, -7.48243508317114;05 22 76 73 76 
387;Pharmacie ElDrabna;https://www.telecontact.ma/annonceur/pharmacie-eldrabna-/3099319/casablanca.php; rte. de Bouskoura 109 , km 11 Drabna Oulad Haddou;33.45183333333, -7.647683333333;05 27 43 72 85 
388;Pharmacie ElFaiz;https://www.telecontact.ma/annonceur/pharmacie-elfaiz-/3114822/casablanca.php; avenue Khalid Bnou Loualid, lotiss. Halioua mag.n°5;33.6000516155974, -7.544397701171262;05 22 35 59 39 
389;Pharmacie ElFaraj;https://www.telecontact.ma/annonceur/pharmacie-elfaraj-/0287400/casablanca.php; 316, bd Abdellah Senhaji - ex C, hay Idrissia I;33.5663, -7.5894;05 22 28 85 69 
390;Pharmacie ElFarissi;https://www.telecontact.ma/annonceur/pharmacie-elfarissi-/3003068/casablanca.php; 9, rue Souleimane El Farissi ;33.58662512251611, -7.581034554025748;05 22 63 70 14 
391;Pharmacie ElFetouaki;https://www.telecontact.ma/annonceur/pharmacie-elfetouaki-/2215338/casablanca.php; hay Mohammadi, rue 2, n°1 bis, lot Tafraout;33.58354254487067, -7.548965629890697;05 22 66 58 50 
392;Pharmacie ElHaddaoui;https://www.telecontact.ma/annonceur/pharmacie-elhaddaoui-/3018290/casablanca.php; 104, lotiss. Dandoune , Ouled Haddou Sidi Maârouf;33.51457107179388, -7.649402251659353;05 22 33 57 74 
393;Pharmacie ElHanaa;https://www.telecontact.ma/annonceur/pharmacie-elhanaa-/0290700/casablanca.php; 140, avenue Wahda El Ifriquia -ex N ;33.5568, -7.59042;05 22 37 27 47 
394;Pharmacie ElHank;https://www.telecontact.ma/annonceur/pharmacie-elhank-/3073941/casablanca.php; 36, cité El Hank, n°16;33.60515249785346, -7.653144634011824;05 22 94 94 22 
395;Pharmacie ElHaouzia;https://www.telecontact.ma/annonceur/pharmacie-elhaouzia-/3013391/casablanca.php; avenue du Dix Mars, bloc 58 n°114;33.56498960940142, -7.570636584962725;05 22 55 37 80 
396;Pharmacie ElHarti;https://www.telecontact.ma/annonceur/pharmacie-elharti-/1779800/casablanca.php; 775, avenue du Cdt Driss Lharti - ex A ;33.5586, -7.55609;05 22 37 17 37 
397;Pharmacie ElHay;https://www.telecontact.ma/annonceur/pharmacie-elhay-/3071973/casablanca.php; dar Lamane, bloc P n°6;33.59111935607408, -7.552493520917409;05 22 63 64 86 
398;Pharmacie ElHilal;https://www.telecontact.ma/annonceur/pharmacie-elhilal-/2110207/casablanca.php; 19, rue El Bachir Laalej -ex F. Ponsard ;33.57240339300629, -7.63751626144681;05 22 98 49 87 
399;Pharmacie ElHouria;https://www.telecontact.ma/annonceur/pharmacie-elhouria-/3096388/casablanca.php; 149, avenue Chaouki Jilali Meskini ex Lhoucin B.A Toto ;33.58433634775367, -7.557896415419805;05 22 62 06 32 
400;Pharmacie ElIrfane;https://www.telecontact.ma/annonceur/pharmacie-elirfane-/3054540/casablanca.php; hay Moulay Rachid, grp. 6, rue T n°8;33.571263653892075, -7.529175257464658;05 22 72 64 41 
401;Pharmacie ElKawtar;https://www.telecontact.ma/annonceur/pharmacie-elkawtar-/2110001/casablanca.php; 10, bd Oued Sebou, Mosquée Ferrara I;33.5565, -7.67451;05 22 90 40 50 
402;Pharmacie ElKheir;https://www.telecontact.ma/annonceur/pharmacie-elkheir-/1223100/casablanca.php; derb El Kheir, rue 23 n°63-65;33.550220, -7.592048;05 22 21 34 23 
403;Pharmacie ElMaaroufi;https://www.telecontact.ma/annonceur/pharmacie-elmaaroufi-/2175523/casablanca.php; lot Espérance II (Ain Sebaâ), rue 1 n°3;33.618961765785656, -7.531876815028703;05 22 35 65 96 
404;Pharmacie ElMadania;https://www.telecontact.ma/annonceur/pharmacie-elmadania-/0292900/casablanca.php; derb Bouchentouf, rue29, n°85;33.57012615733124, -7.604068234138481;05 22 28 13 28 
405;Pharmacie ElManal;https://www.telecontact.ma/annonceur/pharmacie-elmanal-/2195977/casablanca.php; 320, bd Oued Oum Errabia ;33.5581, -7.68045;05 22 93 28 29 
406;Pharmacie ElManar;https://www.telecontact.ma/annonceur/pharmacie-elmanar-/0287600/casablanca.php; 48, avenue Mehdi Ben Berka -ex Cimetière ;33.60087442461709, -7.640588657784484;05 22 26 13 72 
407;Pharmacie ElMansour;https://www.telecontact.ma/annonceur/pharmacie-elmansour-/0287700/casablanca.php; 106, avenue Joulan - ex D ;33.5589, -7.57458;05 22 37 34 98 
408;Pharmacie ElMasjid ElHabib;https://www.telecontact.ma/annonceur/pharmacie-elmasjid-elhabib-/3296278/casablanca.php; hay Hassani, résid. Riad Gh34 imm. 8 mag. 8 Acharaf II;33.53613948524901, -7.6932449511871255;05 22 90 05 67 
409;Pharmacie ElMokhtar;https://www.telecontact.ma/annonceur/pharmacie-elmokhtar-/3001047/casablanca.php; 19, bd de la Grande Ceinture (A.Sebaa) ;33.599293290, -7.624428480;05 22 66 49 49 
